Targa2,Euro 0,Euro 1,Euro 2,Euro 3,Euro 4,Euro 5,Euro 6,Elettrico
CD,0.00241545893719807,0.00120772946859903,0.0201288244766506,0.772544283413849,0.203703703703704,0,0,0
CE,0.00370284656329553,0.00347141865308956,0.0261513538532747,0.737792177736635,0.228882203193705,0,0,0
CF,0.00955794504181601,0.00836320191158901,0.021505376344086,0.780167264038232,0.178016726403823,0.002389486260454,0,0
CG,0.0075,0,0.01625,0.7975,0.175,0.0025,0,0.00125
CH,0.00585335797905114,0.00215650030807147,0.0286506469500924,0.651571164510166,0.311768330252619,0,0,0
CJ,0.00385019250962548,0.00350017500875044,0.0122506125306265,0.736436821841092,0.243962198109905,0,0,0
CK,0.00336134453781513,0.00168067226890756,0.0126050420168067,0.727731092436975,0.254621848739496,0,0,0
CL,0.00449515905947441,0.00311203319502075,0.0114107883817427,0.689142461964039,0.291839557399723,0,0,0
CM,0.00343911208378928,0.00250117242457402,0.011411599187119,0.608879162107238,0.37376895419728,0,0,0
CN,0.00667714061272584,0.00510604870384918,0.0216025137470542,0.602906520031422,0.363707776904949,0,0,0
CP,0.00230591852421214,0,0.00845503458877786,0.679477325134512,0.309761721752498,0,0,0
CR,0.00555555555555556,0.000793650793650794,0.0126984126984127,0.595238095238095,0.385714285714286,0,0,0
CS,0.00290528762347472,0.00203370133643231,0.0084253341080767,0.445671121441023,0.540964555490994,0,0,0
CT,0.0026309495336044,0.00382683568524277,0.00574025352786415,0.398947620186558,0.588615163836403,0.000239177230327673,0,0
CV,0.00594613501224204,0.00524658971668416,0.0129415879678209,0.413081497026932,0.56278419027632,0,0,0
CW,0.000814829904257486,0.000814829904257486,0.00264819718883683,0.256671419841108,0.73905072316154,0,0,0
CX,0.0072289156626506,0.00455153949129853,0.00937081659973226,0.241767068273092,0.737081659973226,0,0,0
CY,0.00154696132596685,0.000220994475138122,0.00441988950276243,0.163314917127072,0.830497237569061,0,0,0
CZ,0.00282131661442006,0.000940438871473354,0.00595611285266458,0.136677115987461,0.853605015673981,0,0,0
DA,0.0019588638589618,0.000979431929480901,0.00636630754162586,0.0927195559908586,0.897975840679073,0,0,0
DB,0.00422535211267606,0.00211267605633803,0.00422535211267606,0.0809859154929577,0.908450704225352,0,0,0
DC,0.00354660235494396,0.00255355369555965,0.0102142147822386,0.0736274648886367,0.910058164278621,0,0,0
DD,0.00192165558019217,0.00103473762010347,0.00502586844050259,0.0449371766444937,0.947080561714708,0,0,0
DE,0.00140336808340016,0.00120288692862871,0.00280673616680032,0.0378909382518043,0.956495589414595,0.000200481154771451,0,0
DF,0.0020852641334569,0.00092678405931418,0.00347544022242817,0.017840593141798,0.974976830398517,0.000231696014828545,0,0.00046339202965709
DG,0.00182260024301337,0.000607533414337789,0.00121506682867558,0.0133657351154313,0.981773997569866,0.00121506682867558,0,0
DH,0.00140878140408547,0.000469593801361822,0.00258276590749002,0.0110354543320028,0.982859826250293,0.000939187602723644,0.000704390702042733,0
DJ,0.00324996467429702,0.00155433093118553,0.00593471810089021,0.0214780274127455,0.96750035325703,0.000282605623851915,0,0
DK,0.00281081081081081,0.00108108108108108,0.00508108108108108,0.0178378378378378,0.972972972972973,0.000216216216216216,0,0
DL,0.000670241286863271,0.00201072386058981,0.00335120643431635,0.00737265415549598,0.986595174262735,0,0,0
DM,0.00143032284429914,0.000204331834899877,0.00143032284429914,0.00388230486309767,0.990396403759706,0.00245198201879853,0.000204331834899877,0
DN,0.00408348457350272,0.000907441016333938,0.00226860254083485,0.00816696914700544,0.983212341197822,0.00136116152450091,0,0
